Date : 2023-12-30 05:11:06
Directory : c:\flutter\graduation project\takaful
Total : 210 files,  9913 codes, 1185 comments, 992 blanks, all 12090 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| android\app\src\main\res\values                                                                                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                         |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                                                             |          8 |        229 |          2 |          9 |        240 |
| ios (Files)                                                                                                                                                                     |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                             |        161 |      8,299 |        912 |        726 |      9,937 |
| lib (Files)                                                                                                                                                                     |          4 |        250 |         12 |         24 |        286 |
| lib\core                                                                                                                                                                        |         13 |        483 |         10 |         34 |        527 |
| lib\core\helper                                                                                                                                                                 |          1 |         12 |          0 |          2 |         14 |
| lib\core\routes                                                                                                                                                                 |          1 |         24 |          0 |          3 |         27 |
| lib\core\utils                                                                                                                                                                  |          4 |        100 |          1 |          5 |        106 |
| lib\core\widgets                                                                                                                                                                |          7 |        347 |          9 |         24 |        380 |
| lib\features                                                                                                                                                                    |        144 |      7,566 |        890 |        668 |      9,124 |
| lib\features\account_verification                                                                                                                                               |          9 |        303 |          7 |         38 |        348 |
| lib\features\account_verification\data                                                                                                                                          |          1 |         12 |          1 |          3 |         16 |
| lib\features\account_verification\presentation                                                                                                                                  |          8 |        291 |          6 |         35 |        332 |
| lib\features\account_verification\presentation\cubit                                                                                                                            |          4 |         72 |          5 |         20 |         97 |
| lib\features\account_verification\presentation\cubit\account_verification                                                                                                       |          2 |         21 |          2 |          7 |         30 |
| lib\features\account_verification\presentation\cubit\add_image_to_verification_account_cubit                                                                                    |          2 |         51 |          3 |         13 |         67 |
| lib\features\account_verification\presentation\view                                                                                                                             |          4 |        219 |          1 |         15 |        235 |
| lib\features\account_verification\presentation\view (Files)                                                                                                                     |          1 |         85 |          1 |          5 |         91 |
| lib\features\account_verification\presentation\view\widget                                                                                                                      |          3 |        134 |          0 |         10 |        144 |
| lib\features\add_donation                                                                                                                                                       |         21 |      1,221 |         52 |        105 |      1,378 |
| lib\features\add_donation\presentation                                                                                                                                          |         21 |      1,221 |         52 |        105 |      1,378 |
| lib\features\add_donation\presentation\cubit                                                                                                                                    |          6 |        202 |         12 |         37 |        251 |
| lib\features\add_donation\presentation\cubit\add_donation_cubit                                                                                                                 |          2 |         54 |          3 |          9 |         66 |
| lib\features\add_donation\presentation\cubit\add_images_cubit                                                                                                                   |          2 |         87 |          5 |         16 |        108 |
| lib\features\add_donation\presentation\cubit\add_location                                                                                                                       |          2 |         61 |          4 |         12 |         77 |
| lib\features\add_donation\presentation\views                                                                                                                                    |         15 |      1,019 |         40 |         68 |      1,127 |
| lib\features\add_donation\presentation\views (Files)                                                                                                                            |          5 |        666 |         39 |         37 |        742 |
| lib\features\add_donation\presentation\views\widgets                                                                                                                            |         10 |        353 |          1 |         31 |        385 |
| lib\features\add_donation\presentation\views\widgets (Files)                                                                                                                    |          2 |         88 |          0 |          7 |         95 |
| lib\features\add_donation\presentation\views\widgets\widgets_for_image                                                                                                          |          4 |        129 |          0 |         11 |        140 |
| lib\features\add_donation\presentation\views\widgets\widgets_for_location                                                                                                       |          3 |        107 |          1 |          9 |        117 |
| lib\features\add_donation\presentation\views\widgets\widgets_for_type_of_donations                                                                                              |          1 |         29 |          0 |          4 |         33 |
| lib\features\auth                                                                                                                                                               |         10 |        510 |         86 |         46 |        642 |
| lib\features\auth\data                                                                                                                                                          |          1 |         37 |          0 |          3 |         40 |
| lib\features\auth\data\model                                                                                                                                                    |          1 |         37 |          0 |          3 |         40 |
| lib\features\auth\presentation                                                                                                                                                  |          9 |        473 |         86 |         43 |        602 |
| lib\features\auth\presentation\cubit                                                                                                                                            |          4 |        118 |          6 |         22 |        146 |
| lib\features\auth\presentation\cubit\login_cubit                                                                                                                                |          2 |         55 |          4 |         13 |         72 |
| lib\features\auth\presentation\cubit\register_cubit                                                                                                                             |          2 |         63 |          2 |          9 |         74 |
| lib\features\auth\presentation\views                                                                                                                                            |          5 |        355 |         80 |         21 |        456 |
| lib\features\auth\presentation\views (Files)                                                                                                                                    |          3 |        302 |         80 |         17 |        399 |
| lib\features\auth\presentation\views\widget                                                                                                                                     |          2 |         53 |          0 |          4 |         57 |
| lib\features\donation_request                                                                                                                                                   |         12 |        556 |         24 |         52 |        632 |
| lib\features\donation_request\data                                                                                                                                              |          1 |         27 |          0 |          1 |         28 |
| lib\features\donation_request\data\model                                                                                                                                        |          1 |         27 |          0 |          1 |         28 |
| lib\features\donation_request\presentation                                                                                                                                      |         11 |        529 |         24 |         51 |        604 |
| lib\features\donation_request\presentation\cubit                                                                                                                                |          6 |        142 |         11 |         26 |        179 |
| lib\features\donation_request\presentation\cubit\accept_request                                                                                                                 |          2 |         35 |          2 |         10 |         47 |
| lib\features\donation_request\presentation\cubit\get_request                                                                                                                    |          2 |         49 |          6 |         10 |         65 |
| lib\features\donation_request\presentation\cubit\send_notification                                                                                                              |          2 |         58 |          3 |          6 |         67 |
| lib\features\donation_request\presentation\views                                                                                                                                |          5 |        387 |         13 |         25 |        425 |
| lib\features\donation_request\presentation\views (Files)                                                                                                                        |          1 |         71 |          2 |          8 |         81 |
| lib\features\donation_request\presentation\views\widget                                                                                                                         |          4 |        316 |         11 |         17 |        344 |
| lib\features\get_category                                                                                                                                                       |          6 |        369 |          2 |         27 |        398 |
| lib\features\get_category\data                                                                                                                                                  |          1 |         12 |          0 |          2 |         14 |
| lib\features\get_category\data\model                                                                                                                                            |          1 |         12 |          0 |          2 |         14 |
| lib\features\get_category\presentation                                                                                                                                          |          5 |        357 |          2 |         25 |        384 |
| lib\features\get_category\presentation\cubit                                                                                                                                    |          2 |         42 |          2 |         10 |         54 |
| lib\features\get_category\presentation\cubit\cubit                                                                                                                              |          2 |         42 |          2 |         10 |         54 |
| lib\features\get_category\presentation\views                                                                                                                                    |          3 |        315 |          0 |         15 |        330 |
| lib\features\get_category\presentation\views (Files)                                                                                                                            |          2 |        212 |          0 |         13 |        225 |
| lib\features\get_category\presentation\views\widget                                                                                                                             |          1 |        103 |          0 |          2 |        105 |
| lib\features\get_donation                                                                                                                                                       |         31 |      1,711 |        123 |        114 |      1,948 |
| lib\features\get_donation\data                                                                                                                                                  |          1 |         51 |          0 |          2 |         53 |
| lib\features\get_donation\data\model                                                                                                                                            |          1 |         51 |          0 |          2 |         53 |
| lib\features\get_donation\presentation                                                                                                                                          |         30 |      1,660 |        123 |        112 |      1,895 |
| lib\features\get_donation\presentation\cubit                                                                                                                                    |          4 |        151 |          4 |         17 |        172 |
| lib\features\get_donation\presentation\cubit\get_donation_cubit                                                                                                                 |          2 |        119 |          2 |         10 |        131 |
| lib\features\get_donation\presentation\cubit\request_donation                                                                                                                   |          2 |         32 |          2 |          7 |         41 |
| lib\features\get_donation\presentation\views                                                                                                                                    |         26 |      1,509 |        119 |         95 |      1,723 |
| lib\features\get_donation\presentation\views (Files)                                                                                                                            |          4 |        325 |         24 |         26 |        375 |
| lib\features\get_donation\presentation\views\helper                                                                                                                             |          2 |         82 |          1 |          5 |         88 |
| lib\features\get_donation\presentation\views\widget                                                                                                                             |         20 |      1,102 |         94 |         64 |      1,260 |
| lib\features\get_donation\presentation\views\widget (Files)                                                                                                                     |          1 |         45 |          0 |          2 |         47 |
| lib\features\get_donation\presentation\views\widget\donation_details_widget                                                                                                     |          9 |        495 |         66 |         32 |        593 |
| lib\features\get_donation\presentation\views\widget\donation_widget                                                                                                             |          3 |        199 |         21 |          6 |        226 |
| lib\features\get_donation\presentation\views\widget\filter_widget                                                                                                               |          7 |        363 |          7 |         24 |        394 |
| lib\features\home                                                                                                                                                               |         13 |        698 |         10 |         58 |        766 |
| lib\features\home\data                                                                                                                                                          |          1 |          8 |          0 |          2 |         10 |
| lib\features\home\presentation                                                                                                                                                  |         12 |        690 |         10 |         56 |        756 |
| lib\features\home\presentation\cubit                                                                                                                                            |          2 |         31 |          0 |         10 |         41 |
| lib\features\home\presentation\cubit\cubit                                                                                                                                      |          2 |         31 |          0 |         10 |         41 |
| lib\features\home\presentation\views                                                                                                                                            |         10 |        659 |         10 |         46 |        715 |
| lib\features\home\presentation\views (Files)                                                                                                                                    |          5 |        377 |          7 |         29 |        413 |
| lib\features\home\presentation\views\widget                                                                                                                                     |          5 |        282 |          3 |         17 |        302 |
| lib\features\my_donation                                                                                                                                                        |          6 |        451 |         30 |         37 |        518 |
| lib\features\my_donation\presentation                                                                                                                                           |          6 |        451 |         30 |         37 |        518 |
| lib\features\my_donation\presentation\cubit                                                                                                                                     |          2 |         46 |          0 |         10 |         56 |
| lib\features\my_donation\presentation\cubit\cubit                                                                                                                               |          2 |         46 |          0 |         10 |         56 |
| lib\features\my_donation\presentation\view                                                                                                                                      |          4 |        405 |         30 |         27 |        462 |
| lib\features\my_donation\presentation\view (Files)                                                                                                                              |          2 |        246 |         18 |         16 |        280 |
| lib\features\my_donation\presentation\view\widget                                                                                                                               |          2 |        159 |         12 |         11 |        182 |
| lib\features\my_request                                                                                                                                                         |          4 |        365 |         34 |         31 |        430 |
| lib\features\my_request\presentation                                                                                                                                            |          4 |        365 |         34 |         31 |        430 |
| lib\features\my_request\presentation (Files)                                                                                                                                    |          1 |        145 |         22 |         11 |        178 |
| lib\features\my_request\presentation\view                                                                                                                                       |          3 |        220 |         12 |         20 |        252 |
| lib\features\my_request\presentation\view (Files)                                                                                                                               |          1 |         72 |          2 |          8 |         82 |
| lib\features\my_request\presentation\view\widget                                                                                                                                |          2 |        148 |         10 |         12 |        170 |
| lib\features\notification                                                                                                                                                       |         10 |        455 |        106 |         44 |        605 |
| lib\features\notification\data                                                                                                                                                  |          1 |         24 |          0 |          3 |         27 |
| lib\features\notification\data\model                                                                                                                                            |          1 |         24 |          0 |          3 |         27 |
| lib\features\notification\presentation                                                                                                                                          |          9 |        431 |        106 |         41 |        578 |
| lib\features\notification\presentation\cubit                                                                                                                                    |          4 |         88 |          4 |         21 |        113 |
| lib\features\notification\presentation\cubit\get_user_and_notification                                                                                                          |          2 |         50 |          2 |         12 |         64 |
| lib\features\notification\presentation\cubit\notification_cubit                                                                                                                 |          2 |         38 |          2 |          9 |         49 |
| lib\features\notification\presentation\views                                                                                                                                    |          5 |        343 |        102 |         20 |        465 |
| lib\features\notification\presentation\views (Files)                                                                                                                            |          1 |         72 |          0 |          6 |         78 |
| lib\features\notification\presentation\views\helper                                                                                                                             |          1 |         31 |          0 |          2 |         33 |
| lib\features\notification\presentation\views\widget                                                                                                                             |          3 |        240 |        102 |         12 |        354 |
| lib\features\profile                                                                                                                                                            |         17 |        868 |         63 |         75 |      1,006 |
| lib\features\profile\presentation                                                                                                                                               |         17 |        868 |         63 |         75 |      1,006 |
| lib\features\profile\presentation\cubit                                                                                                                                         |          6 |        128 |         29 |         34 |        191 |
| lib\features\profile\presentation\cubit\delete_account                                                                                                                          |          2 |         38 |         22 |         10 |         70 |
| lib\features\profile\presentation\cubit\get_user_details                                                                                                                        |          2 |         70 |          7 |         17 |         94 |
| lib\features\profile\presentation\cubit\update_user_data                                                                                                                        |          2 |         20 |          0 |          7 |         27 |
| lib\features\profile\presentation\views                                                                                                                                         |         11 |        740 |         34 |         41 |        815 |
| lib\features\profile\presentation\views (Files)                                                                                                                                 |          2 |        320 |         33 |         14 |        367 |
| lib\features\profile\presentation\views\widget                                                                                                                                  |          9 |        420 |          1 |         27 |        448 |
| lib\features\profile\presentation\views\widget (Files)                                                                                                                          |          2 |        104 |          0 |          6 |        110 |
| lib\features\profile\presentation\views\widget\widget_manage_profile                                                                                                            |          7 |        316 |          1 |         21 |        338 |
| lib\features\save_doantion                                                                                                                                                      |          4 |          0 |        353 |         36 |        389 |
| lib\features\save_doantion\data                                                                                                                                                 |          1 |          0 |          9 |          3 |         12 |
| lib\features\save_doantion\presentation                                                                                                                                         |          3 |          0 |        344 |         33 |        377 |
| lib\features\save_doantion\presentation\cubit                                                                                                                                   |          2 |          0 |         47 |         12 |         59 |
| lib\features\save_doantion\presentation\cubit\cubit                                                                                                                             |          2 |          0 |         47 |         12 |         59 |
| lib\features\save_doantion\presentation\view                                                                                                                                    |          1 |          0 |        297 |         21 |        318 |
| lib\features\splash                                                                                                                                                             |          1 |         59 |          0 |          5 |         64 |
| lib\features\splash\presentation                                                                                                                                                |          1 |         59 |          0 |          5 |         64 |
| lib\features\splash\presentation\views                                                                                                                                          |          1 |         59 |          0 |          5 |         64 |
| linux                                                                                                                                                                           |          5 |        106 |         27 |         38 |        171 |
| linux (Files)                                                                                                                                                                   |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                                                                   |          2 |         20 |          9 |         11 |         40 |
| macos                                                                                                                                                                           |          6 |        466 |          3 |         12 |        481 |
| macos (Files)                                                                                                                                                                   |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                                                                                                   |          1 |         28 |          3 |          4 |         35 |
| macos\Runner                                                                                                                                                                    |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                                                                            |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                                             |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                                                                         |         10 |        462 |         94 |        143 |        699 |
| windows\flutter                                                                                                                                                                 |          2 |         35 |          9 |         11 |         55 |
| windows\runner                                                                                                                                                                  |          8 |        427 |         85 |        132 |        644 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                        | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\flutter\graduation project\takaful\README.md                                                                                                                                 | Markdown        |         13 |          0 |          6 |         19 |
| c:\flutter\graduation project\takaful\analysis_options.yaml                                                                                                                     | YAML            |          3 |         23 |          4 |         30 |
| c:\flutter\graduation project\takaful\android\app\build.gradle                                                                                                                  | Gradle          |         45 |          5 |         10 |         60 |
| c:\flutter\graduation project\takaful\android\app\google-services.json                                                                                                          | JSON            |         39 |          0 |          0 |         39 |
| c:\flutter\graduation project\takaful\android\app\src\debug\AndroidManifest.xml                                                                                                 | XML             |          4 |          4 |          1 |          9 |
| c:\flutter\graduation project\takaful\android\app\src\main\AndroidManifest.xml                                                                                                  | XML             |         35 |          6 |          1 |         42 |
| c:\flutter\graduation project\takaful\android\app\src\main\java\com\example\takaful\MainActivity.java                                                                           | Java            |          4 |          0 |          3 |          7 |
| c:\flutter\graduation project\takaful\android\app\src\main\res\drawable-v21\launch_background.xml                                                                               | XML             |          4 |          7 |          2 |         13 |
| c:\flutter\graduation project\takaful\android\app\src\main\res\drawable\launch_background.xml                                                                                   | XML             |          4 |          7 |          2 |         13 |
| c:\flutter\graduation project\takaful\android\app\src\main\res\values-night\styles.xml                                                                                          | XML             |          9 |          9 |          1 |         19 |
| c:\flutter\graduation project\takaful\android\app\src\main\res\values\styles.xml                                                                                                | XML             |          9 |          9 |          1 |         19 |
| c:\flutter\graduation project\takaful\android\app\src\profile\AndroidManifest.xml                                                                                               | XML             |          4 |          4 |          1 |          9 |
| c:\flutter\graduation project\takaful\android\build.gradle                                                                                                                      | Gradle          |         27 |          0 |          5 |         32 |
| c:\flutter\graduation project\takaful\android\gradle.properties                                                                                                                 | Java Properties |          3 |          0 |          1 |          4 |
| c:\flutter\graduation project\takaful\android\gradle\wrapper\gradle-wrapper.properties                                                                                          | Java Properties |          5 |          0 |          1 |          6 |
| c:\flutter\graduation project\takaful\android\settings.gradle                                                                                                                   | Gradle          |          8 |          0 |          4 |         12 |
| c:\flutter\graduation project\takaful\ios\Runner\AppDelegate.swift                                                                                                              | Swift           |         12 |          0 |          2 |         14 |
| c:\flutter\graduation project\takaful\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                                                               | JSON            |        122 |          0 |          1 |        123 |
| c:\flutter\graduation project\takaful\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                                                                             | JSON            |         23 |          0 |          1 |         24 |
| c:\flutter\graduation project\takaful\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                                                                 | Markdown        |          3 |          0 |          2 |          5 |
| c:\flutter\graduation project\takaful\ios\Runner\Base.lproj\LaunchScreen.storyboard                                                                                             | XML             |         36 |          1 |          1 |         38 |
| c:\flutter\graduation project\takaful\ios\Runner\Base.lproj\Main.storyboard                                                                                                     | XML             |         25 |          1 |          1 |         27 |
| c:\flutter\graduation project\takaful\ios\Runner\Runner-Bridging-Header.h                                                                                                       | C++             |          1 |          0 |          1 |          2 |
| c:\flutter\graduation project\takaful\ios\firebase_app_id_file.json                                                                                                             | JSON            |          7 |          0 |          0 |          7 |
| c:\flutter\graduation project\takaful\lib\bloc_observer.dart                                                                                                                    | Dart            |         22 |          0 |          7 |         29 |
| c:\flutter\graduation project\takaful\lib\core\helper\show_snak_bar.dart                                                                                                        | Dart            |         12 |          0 |          2 |         14 |
| c:\flutter\graduation project\takaful\lib\core\routes\app_routes.dart                                                                                                           | Dart            |         24 |          0 |          3 |         27 |
| c:\flutter\graduation project\takaful\lib\core\utils\app_assets.dart                                                                                                            | Dart            |         25 |          0 |          1 |         26 |
| c:\flutter\graduation project\takaful\lib\core\utils\app_colors.dart                                                                                                            | Dart            |         12 |          0 |          2 |         14 |
| c:\flutter\graduation project\takaful\lib\core\utils\app_constants.dart                                                                                                         | Dart            |          4 |          0 |          1 |          5 |
| c:\flutter\graduation project\takaful\lib\core\utils\app_strings.dart                                                                                                           | Dart            |         59 |          1 |          1 |         61 |
| c:\flutter\graduation project\takaful\lib\core\widgets\circlr_logo.dart                                                                                                         | Dart            |         46 |          3 |          3 |         52 |
| c:\flutter\graduation project\takaful\lib\core\widgets\custom_app_bar.dart                                                                                                      | Dart            |         67 |          3 |          3 |         73 |
| c:\flutter\graduation project\takaful\lib\core\widgets\custom_button.dart                                                                                                       | Dart            |         42 |          0 |          2 |         44 |
| c:\flutter\graduation project\takaful\lib\core\widgets\custom_search_bar.dart                                                                                                   | Dart            |         47 |          2 |          2 |         51 |
| c:\flutter\graduation project\takaful\lib\core\widgets\custom_textfiled.dart                                                                                                    | Dart            |         54 |          1 |          6 |         61 |
| c:\flutter\graduation project\takaful\lib\core\widgets\logo_takaful.dart                                                                                                        | Dart            |         60 |          0 |          4 |         64 |
| c:\flutter\graduation project\takaful\lib\core\widgets\type_of_donation_component.dart                                                                                          | Dart            |         31 |          0 |          4 |         35 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\data\account_ver_model.dart                                                                             | Dart            |         12 |          1 |          3 |         16 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\account_verification\account_verification_cubit.dart                                 | Dart            |         17 |          2 |          4 |         23 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\account_verification\account_verification_state.dart                                 | Dart            |          4 |          0 |          3 |          7 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\add_image_to_verification_account_cubit\add_image_to_verification_account_cubit.dart | Dart            |         37 |          2 |          7 |         46 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\add_image_to_verification_account_cubit\add_image_to_verification_account_state.dart | Dart            |         14 |          1 |          6 |         21 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\account_verification_page.dart                                                        | Dart            |         85 |          1 |          5 |         91 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\widget\account_verification_text_field.dart                                           | Dart            |         33 |          0 |          3 |         36 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\widget\add_image_component.dart                                                       | Dart            |         65 |          0 |          5 |         70 |
| c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\widget\image_button.dart                                                              | Dart            |         36 |          0 |          2 |         38 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_donation_cubit\add_donation_cubit.dart                                                   | Dart            |         47 |          2 |          3 |         52 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_donation_cubit\add_donation_state.dart                                                   | Dart            |          7 |          1 |          6 |         14 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_images_cubit\add_images_cubit.dart                                                       | Dart            |         63 |          1 |          8 |         72 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_images_cubit\add_images_state.dart                                                       | Dart            |         24 |          4 |          8 |         36 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_location\add_location_cubit.dart                                                         | Dart            |         44 |          1 |          6 |         51 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_location\add_location_state.dart                                                         | Dart            |         17 |          3 |          6 |         26 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_details_donation.dart                                                                    | Dart            |        296 |         25 |         15 |        336 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_donation.dart                                                                            | Dart            |         43 |          1 |          3 |         47 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_images_page.dart                                                                         | Dart            |        151 |         13 |          7 |        171 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_item_donation.dart                                                                       | Dart            |         88 |          0 |          6 |         94 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_service_donation.dart                                                                    | Dart            |         88 |          0 |          6 |         94 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\counter_post.dart                                                                    | Dart            |         36 |          0 |          5 |         41 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\type_of_item_or_service.dart                                                         | Dart            |         52 |          0 |          2 |         54 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\add_image_button.dart                                              | Dart            |         36 |          0 |          2 |         38 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\add_images_component.dart                                          | Dart            |         45 |          0 |          3 |         48 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\alert_dialog_button.dart                                           | Dart            |         25 |          0 |          2 |         27 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\image_displayed.dart                                               | Dart            |         23 |          0 |          4 |         27 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_location\location_button.dart                                            | Dart            |         39 |          0 |          2 |         41 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_location\location_loading.dart                                           | Dart            |         20 |          0 |          3 |         23 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_location\text_feiled.dart                                                | Dart            |         48 |          1 |          4 |         53 |
| c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_type_of_donations\type_of_donation_button.dart                           | Dart            |         29 |          0 |          4 |         33 |
| c:\flutter\graduation project\takaful\lib\features\auth\data\model\user_details_model.dart                                                                                      | Dart            |         37 |          0 |          3 |         40 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\login_cubit\login_cubit.dart                                                                         | Dart            |         41 |          2 |          5 |         48 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\login_cubit\login_state.dart                                                                         | Dart            |         14 |          2 |          8 |         24 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\register_cubit\register_cubit.dart                                                                   | Dart            |         54 |          1 |          3 |         58 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\register_cubit\register_state.dart                                                                   | Dart            |          9 |          1 |          6 |         16 |
